注文ID,地域,配送会社,距離,荷物重量,天気,交通量,発送準備時間,過去遅延回数,注文金額,当日配送件数,ドライバー経験年数,再配達回数,時期,配送先種別,配達希望時間帯,配送状態
ORD-16058,大阪,ヤマト運輸,513.0,1.5,晴れ,47.0,4.7,0.0,11484.0,174.0,0.1,1.0,通常期,住宅,午前,通常
ORD-05666,愛知,ヤマト運輸,375.0,1.0,晴れ,13.0,2.5,0.0,8117.0,69.0,,0.0,通常期,会社,午後,通常
ORD-22063,福岡,佐川急便,314.0,0.9,晴れ,61.0,1.9,,936.0,80.0,0.9,0.0,通常期,住宅,午後,通常
ORD-28047,広島,日本郵便,160.0,4.4,晴れ,35.0,1.3,,2088.0,101.0,0.7,0.0,通常期,住宅,夜間,通常
ORD-29048,大阪,日本郵便,138.0,1.1,雨,58.0,2.1,0.0,,52.0,10.4,1.0,通常期,住宅,夜間,通常
ORD-24927,名古屋,佐川急便,523.0,0.5,雪,58.0,2.8,0.0,8333.0,108.0,6.2,1.0,通常期,住宅,午前,遅延注意
ORD-07925,宮城,日本郵便,400.0,1.1,雨,31.0,4.0,0.0,837.0,118.0,21.4,0.0,繁忙期,会社,午後,通常
ORD-09865,大阪,ヤマト運輸,165.0,1.5,晴れ,27.0,0.7,0.0,7322.0,114.0,6.4,0.0,通常期,住宅,午前,通常
ORD-21771,東京,ヤマト運輸,525.0,5.9,晴れ,91.0,2.1,0.0,1440.0,29.0,1.3,1.0,通常期,住宅,午後,通常
ORD-21317,沖縄,佐川急便,401.0,3.8,晴れ,68.0,1.9,3.0,2689.0,179.0,5.8,0.0,通常期,住宅,夜間,遅延注意
ORD-16201,東京,日本郵便,555.0,6.2,晴れ,73.0,1.7,1.0,8043.0,91.0,2.1,0.0,繁忙期,会社,午前,通常
ORD-22407,北海道,佐川急便,577.0,1.9,晴れ,53.0,3.7,0.0,14124.0,187.0,7.6,1.0,繁忙期,住宅,夜間,遅延注意
ORD-00259,北海道,佐川急便,109.0,1.6,晴れ,36.0,2.2,0.0,14906.0,135.0,0.5,0.0,通常期,住宅,午後,通常
ORD-09579,宮城,ヤマト運輸,,4.2,晴れ,18.0,1.5,0.0,11700.0,120.0,7.4,0.0,通常期,会社,午前,通常
ORD-17318,広島,日本郵便,298.0,2.8,雪,66.0,3.4,0.0,1996.0,108.0,0.7,0.0,通常期,住宅,午後,遅延注意
ORD-27274,沖縄,日本郵便,724.0,4.4,晴れ,63.0,2.4,0.0,14872.0,149.0,6.7,1.0,通常期,住宅,夜間,遅延注意
ORD-05179,広島,ヤマト運輸,504.0,1.9,晴れ,37.0,2.4,1.0,5429.0,125.0,8.6,0.0,繁忙期,会社,午後,通常
ORD-11525,大阪,佐川急便,211.0,2.3,晴れ,55.0,2.8,1.0,2645.0,100.0,4.5,0.0,通常期,住宅,午後,通常
