注文ID,地域,配送会社,距離,荷物重量,天気,交通量,発送準備時間,過去遅延回数,注文金額,当日配送件数,ドライバー経験年数,再配達回数,時期,配送先種別,配達希望時間帯,配送状態
ORD-16058, 大阪 , ヤマト運輸 ,513,1.5,晴れ,47,4.7,0,"11,484円",174,0.1年,1, 通常期 ,HOME, 午前 ,通常
ORD-05666,愛知県,ヤマト,375,1.0,晴れ,13,2.5h,0,"8,117",69,,0, 通常期 , 会社 ,午後,通常
ORD-22063,FUKUOKA,佐川,314km,0.9kg, 晴れ ,61,1.9h,,936円,80件, 0.9年 ,0,通常期, 住宅 ,AFTERNOON,通常
ORD-28047,広島県,郵便,160km,4.4kg,晴れ, 35 ,1.3,不明,"2,088",101,0.7年,0回,NORMAL,HOME,NIGHT,通常
ORD-29048,大阪, 日本郵便 ,138km,1.1kg,雨,58,2.1,0,不明,52件,10.4,1回, 通常期 ,HOME,夜間,通常
ORD-24927,名古屋, 佐川急便 ,523,0.5,雪 ,58,2.8h,0,"8,333",108, 6.2年 ,1,通常期,HOME,MORNING,遅延注意
ORD-07925,宮城県,日本郵便,400,1.1kg,RAIN,31,4.0,0,837円,118,21.4年,0回, 繁忙期 , 会社 ,午後,通常
ORD-09865,OSAKA,ヤマト,165km,1.5,SUNNY,27,0.7h,0,"7,322",114,6.4年,0,通常期,住宅,午前,通常
ORD-21771,TOKYO,Yamato,525km,5.9, 晴れ ,91,2.1h,0,"1,440",29,1.3,1回, 通常期 ,HOME,午後,通常
ORD-21317,沖縄,Sagawa,401,3.8,晴れ,68,1.9h,3,"2,689円",179件,5.8,0回,NORMAL,HOME, 夜間 ,遅延注意
ORD-16201,東京,郵便,555,6.2kg, 晴れ ,73,1.7h,1,"8,043",91件, 2.1年 ,0,繁忙期,OFFICE, 午前 ,通常
ORD-22407,北海道,佐川急便,577,1.9,晴れ,53,3.7h,0,"14,124円",187件, 7.6年 ,1,PEAK,HOME,NIGHT,遅延注意
ORD-00259,HOKKAIDO, 佐川急便 ,109km,1.6,SUNNY,36,2.2,0,"14,906",135,0.5,0回, 通常期 ,HOME,午後,通常
